Record,Name,Trial,StimType,CellType,Spike,Spike_rate
1,18FB,1,FFF,MU,52,37.83076923
1,18FB,1,FFF,SU_RS,17,97.56047059
1,18FB,1,FFF,SU_FS,11,138.72
1,18FB,1,FFF,SU_RS,16,90.25
1,18FB,1,FFF,MU,34,57.66964706
1,18FB,1,FFF,SU_FS,91,20.84465934
1,18FB,1,FFF,MU,33,48.83781818
1,18FB,1,FFF,MU,76,25.74105263
1,18FB,1,FFF,SU_RS,27,67.11348148
1,18FB,2,FMS,MU,17,112.4103529
1,18FB,2,FMS,SU_RS,12,138.3306667
1,18FB,2,FMS,SU_FS,3,131.3066667
1,18FB,2,FMS,SU_RS,15,93.9456
1,18FB,2,FMS,MU,22,83.12727273
1,18FB,2,FMS,SU_FS,81,22.6477037
1,18FB,2,FMS,MU,24,76.28266667
1,18FB,2,FMS,MU,43,44.02455814
1,18FB,2,FMS,SU_RS,9,168.2062222
1,18FB,3,SMF,MU,52,36.94215385
1,18FB,3,SMF,SU_RS,28,64.77142857
1,18FB,3,SMF,SU_FS,13,146.176
1,18FB,3,SMF,SU_RS,44,40.28581818
1,18FB,3,SMF,MU,60,28.60053333
1,18FB,3,SMF,SU_FS,99,19.75563636
1,18FB,3,SMF,MU,40,48.436
1,18FB,3,SMF,MU,64,29.2695
1,18FB,3,SMF,SU_RS,31,52.82167742
1,18FB,4,FFF,MU,42,45.77371429
1,18FB,4,FFF,SU_RS,15,129.9498667
1,18FB,4,FFF,SU_FS,7,120.9371429
1,18FB,4,FFF,SU_RS,28,46.71085714
1,18FB,4,FFF,MU,39,49.30461538
1,18FB,4,FFF,SU_FS,80,24.5832
1,18FB,4,FFF,MU,28,70.61714286
1,18FB,4,FFF,MU,51,37.03341176
1,18FB,4,FFF,SU_RS,16,72.824
1,18FB,5,FFF,MU,33,57.54763636
1,18FB,5,FFF,SU_RS,15,103.1168
1,18FB,5,FFF,SU_FS,10,145.344
1,18FB,5,FFF,SU_RS,16,64.772
1,18FB,5,FFF,MU,31,59.46425806
1,18FB,5,FFF,SU_FS,105,18.90468571
1,18FB,5,FFF,MU,26,69.30461538
1,18FB,5,FFF,MU,64,29.384
1,18FB,5,FFF,SU_RS,22,47.08072727
1,18FB,6,SSS,MU,33,58.01987879
1,18FB,6,SSS,SU_RS,12,107.7706667
1,18FB,6,SSS,SU_FS,7,129.3028571
1,18FB,6,SSS,SU_RS,13,94.61415385
1,18FB,6,SSS,MU,30,57.67146667
1,18FB,6,SSS,SU_FS,62,31.96593548
1,18FB,6,SSS,MU,33,51.67612121
1,18FB,6,SSS,MU,48,38.85466667
1,18FB,6,SSS,SU_RS,27,56.76562963
1,18FB,7,FFF,MU,53,37.09041509
1,18FB,7,FFF,SU_RS,16,108.362
1,18FB,7,FFF,SU_FS,6,172.9653333
1,18FB,7,FFF,SU_RS,31,61.56593548
1,18FB,7,FFF,MU,47,40.57940426
1,18FB,7,FFF,SU_FS,80,24.4676
1,18FB,7,FFF,MU,36,54.12088889
1,18FB,7,FFF,MU,54,32.94459259
1,18FB,7,FFF,SU_RS,20,84.5696
1,18FB,8,SSS,MU,37,47.51048649
1,18FB,8,SSS,SU_RS,13,118.5452308
1,18FB,8,SSS,SU_FS,9,191.6266667
1,18FB,8,SSS,SU_RS,20,65.904
1,18FB,8,SSS,MU,41,45.17931707
1,18FB,8,SSS,SU_FS,90,21.27146667
1,18FB,8,SSS,MU,23,72.00417391
1,18FB,8,SSS,MU,58,34.28248276
1,18FB,8,SSS,SU_RS,21,83.85828571
1,18FB,9,SMF,MU,34,50.22305882
1,18FB,9,SMF,SU_RS,20,76.0768
1,18FB,9,SMF,SU_FS,8,217.632
1,18FB,9,SMF,SU_RS,13,140.1723077
1,18FB,9,SMF,MU,30,64.58453333
1,18FB,9,SMF,SU_FS,86,22.84911628
1,18FB,9,SMF,MU,34,50.50823529
1,18FB,9,SMF,MU,46,38.91826087
1,18FB,9,SMF,SU_RS,30,55.83466667
1,18FB,10,SSS,MU,34,46.77929412
1,18FB,10,SSS,SU_RS,15,68.59306667
1,18FB,10,SSS,SU_FS,10,143.872
1,18FB,10,SSS,SU_RS,26,72.73353846
1,18FB,10,SSS,MU,40,39.4768
1,18FB,10,SSS,SU_FS,69,27.52463768
1,18FB,10,SSS,MU,30,60.8032
1,18FB,10,SSS,MU,36,50.09244444
1,18FB,10,SSS,SU_RS,18,42.55644444
1,18FB,11,SMF,MU,44,38.82690909
1,18FB,11,SMF,SU_RS,17,87.30729412
1,18FB,11,SMF,SU_FS,12,133.32
1,18FB,11,SMF,SU_RS,24,74.79466667
1,18FB,11,SMF,MU,44,41.66763636
1,18FB,11,SMF,SU_FS,101,18.91263366
1,18FB,11,SMF,MU,17,95.65176471
1,18FB,11,SMF,MU,64,29.0045
1,18FB,11,SMF,SU_RS,27,66.51022222
1,18FB,12,FMS,MU,28,62.82285714
1,18FB,12,FMS,SU_RS,15,82.9504
1,18FB,12,FMS,SU_FS,7,229.1337143
1,18FB,12,FMS,SU_RS,28,68.75428571
1,18FB,12,FMS,MU,19,80.23410526
1,18FB,12,FMS,SU_FS,83,21.6613012
1,18FB,12,FMS,MU,19,90.848
1,18FB,12,FMS,MU,48,40.962
1,18FB,12,FMS,SU_RS,26,65.33415385
1,18FB,13,FFF,MU,23,75.04695652
1,18FB,13,FFF,SU_RS,8,179.244
1,18FB,13,FFF,SU_FS,4,57.664
1,18FB,13,FFF,SU_RS,11,133.4923636
1,18FB,13,FFF,MU,19,64.82357895
1,18FB,13,FFF,SU_FS,72,27.05866667
1,18FB,13,FFF,MU,24,62.12533333
1,18FB,13,FFF,MU,43,37.52781395
1,18FB,13,FFF,SU_RS,17,73.96894118
1,18FB,14,SMF,MU,28,62.70628571
1,18FB,14,SMF,SU_RS,10,83.7984
1,18FB,14,SMF,SU_FS,8,156.896
1,18FB,14,SMF,SU_RS,11,114.2603636
1,18FB,14,SMF,MU,24,73.32666667
1,18FB,14,SMF,SU_FS,87,22.20468966
1,18FB,14,SMF,MU,26,72.096
1,18FB,14,SMF,MU,42,38.97752381
1,18FB,14,SMF,SU_RS,17,78.27764706
1,18FB,15,FFF,MU,38,47.12252632
1,18FB,15,FFF,SU_RS,19,79.32126316
1,18FB,15,FFF,SU_FS,9,180.2417778
1,18FB,15,FFF,SU_RS,20,84.3056
1,18FB,15,FFF,MU,33,55.42012121
1,18FB,15,FFF,SU_FS,84,22.82247619
1,18FB,15,FFF,MU,35,54.50514286
1,18FB,15,FFF,MU,56,29.90685714
1,18FB,15,FFF,SU_RS,32,58.473
1,18FB,16,SMF,MU,41,45.47121951
1,18FB,16,SMF,SU_RS,10,81.1936
1,18FB,16,SMF,SU_FS,8,185.54
1,18FB,16,SMF,SU_RS,16,76.516
1,18FB,16,SMF,MU,33,55.47151515
1,18FB,16,SMF,SU_FS,53,34.84015094
1,18FB,16,SMF,MU,28,64.12457143
