Type,Training Day,FFF mean,FMS mean,SMF mean,SSS mean
8,1,0.6739766,0.4557436,0.4867138,0.3221502
8,2,0.7191314,0.5406572,0.5473412,0.3941618
8,3,0.701718,0.5495734,0.512886,0.3815364
8,4,0.723434,0.5806536,0.5678786,0.3861834
8,5,0.7562996,0.5103146,0.4842622,0.3528828
8,6,0.6465096,0.5568372,0.4675734,0.3690668
8,7,0.6855266,0.5130092,0.4893162,0.343233
8,8,0.65674625,0.56606675,0.42742925,0.31947625
8,9,0.599905,0.50182075,0.4622325,0.3797955
8,10,0.638163333,0.507134,0.521119,0.305321
8,11,0.678263,0.462496,0.476264,0.394319
8,12,0.668760333,0.498779,0.445935,0.343259667
8,13,0.84,0.571429,0.529412,0.302326
15,1.5,0.636562667,0.433449667,0.401617,0.273623167
15,3.5,0.625568333,0.406846833,0.409236667,0.356716167
15,5.5,0.680114167,0.507144167,0.472191333,0.3002515
15,7.5,0.685613667,0.4861875,0.492913833,0.2798465
15,9.5,0.681291667,0.425123167,0.476274333,0.270730333
15,11.5,0.783214333,0.5452875,0.474557333,0.328565
15,13.5,0.668068,0.420871,0.405558667,0.296101333
15,15.5,0.5474462,0.4568362,0.464796,0.3397212
15,17.5,0.611363,0.45482,0.45172725,0.35520625
15,19.5,0.644023,0.465424333,0.395682333,0.359207333
15,21.5,0.6740445,0.523847,0.507817,0.465745
